District,Assembly Constituency,AC Code,Total Population,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Social Forestry (0-1),Small Scale Industries (0-1),Adult & Non-Formal Education (0-1)
GANGANAGAR,Sadulshahar,1,13749,0.72,4.63,1.36,0.67,3.99,2.39,5.39,2.92,0,0.61,0,0,0.5,5.64,1.43,1.68,0.35,0.2,5,4.05,0,0.72,0.31,0,0,0,0.51
GANGANAGAR,Ganganagar,2,10240,1.38,3.52,2.35,0,3.82,2.28,6.49,2.58,0.27,0.49,0.27,0.09,0.36,4.09,1.04,3.53,0.47,0.62,3.84,2.72,0,0.71,1.32,0,0,0,0
GANGANAGAR,Karanpur,3,12074,1.07,5.24,0.85,0,3.58,2.03,5.53,2.66,0.07,0.04,0,0,0.22,3.83,1,2.45,0.23,1.01,3.32,3.68,0,0.46,0.53,0.07,0,0.03,0
GANGANAGAR,Suratgarh,4,16780,1.12,4.13,1.16,0,3.12,2.15,5.32,2.59,0,0.47,0.14,0,0.48,4.38,0.96,2.41,0.06,0.34,2.52,2.68,0.19,0.38,0.08,0.09,0.19,0.1,0.14
GANGANAGAR,Raisinghnagar,5,29491,0.87,4.56,0.66,0,3.33,1.93,5.14,2.91,0.07,0.31,0.04,0.06,0.1,3.72,1.02,2.32,0.23,0.31,3.18,3.31,0.03,0.51,0.35,0.03,0.03,0,0.07
GANGANAGAR,Anupgarh,6,33570,2.61,4.68,2.23,0,3.2,2.31,5.9,2.79,0.02,0.54,0.13,0.52,0.49,6.17,1.28,3.71,1.06,1.48,4.16,3.36,0,0.52,0.08,0,0,0,0.47
HANUMANGARH,Sangaria,7,31516,1.63,4.81,2.06,0.49,3.8,2.2,5.44,2.81,0.22,0.51,0.01,0,0.21,5.33,1.42,2.79,0.23,0.89,4.31,2.81,0.06,0.46,0.36,0.2,0.06,0.2,0.34
HANUMANGARH,Hanumangarh,8,25666,1.6,5.2,2.16,0.07,3.86,1.98,5.46,2.37,0.02,0.53,0.34,0.13,0.26,4.79,1.3,2.65,0.24,1.61,3.76,1.79,0.21,0.56,0.28,0.14,0.21,0,0.13
HANUMANGARH,Pilibanga,9,10407,0.7,4.81,0.93,0.1,3.84,1.56,4.39,2.32,0.16,0.14,0.22,0.11,0.35,3.29,0.78,1.4,0.22,0.41,3.46,3.26,0.11,0.15,0.32,0,0.11,0.11,0
HANUMANGARH,Nohar,10,49620,0.54,2.23,2.15,0,3.25,1.94,4.67,2.53,0,0.64,0.53,0.18,0.08,4.19,1.22,3.04,0,0.23,4.06,2.59,0.15,0.56,0.5,0.11,0.15,0.16,0.08
HANUMANGARH,Bhadra,11,15867,1.82,3.75,1.99,0,4,0.71,5.95,2.55,0.43,0.5,0,0.16,0.84,5.19,1.26,3.95,0.12,0,6.25,2.98,0.33,0.59,1.65,0,0.33,0.17,0
BIKANER,Khajuwala,12,128129,1.24,3.52,1.51,0,3.19,1.56,5.4,2.53,0.13,0.68,0.34,0,0.31,3.76,1.03,2.85,0.06,0.78,3.15,2.6,0.41,0.43,0.37,0,0.41,0.4,0.2
BIKANER,Kolayat,15,46840,0.94,2.61,2.36,0.02,2.04,2.31,6.07,2.59,0.06,0.76,0.04,0.47,0.65,6.31,1.17,3.89,0.03,1.73,5.06,1.96,0.01,0.5,0.49,0,0.01,0.01,0.5
BIKANER,Lunkaransar,16,84895,2.07,3.12,1.83,0.27,3.54,1.39,6.56,2.56,0,0.53,0.51,0.36,0.4,5.43,1.87,3.9,0.66,1.06,4.91,2.67,0.32,0.69,0.76,0,0.32,0.32,0.35
BIKANER,Dungargarh,17,30568,3.12,0.65,3.2,0,3.82,0.29,5.34,2.98,0,0.83,0.63,0,0.2,4.72,0.4,3.36,0.14,2.02,4.57,1.36,0.08,0.83,0.94,0,0.08,0.08,0
BIKANER,Nokha,18,151486,2.01,3.16,1.38,0,3.68,1.94,5.98,2.7,0.13,0.83,0.27,0.11,0.7,5.05,1.07,3.01,0.33,1.21,4.96,2.18,0.21,0.56,0.48,0,0.21,0.14,0.05
CHURU,Sadulpur,19,92949,0.82,1.43,1.23,0.04,3.87,1.78,5.37,2.38,0.08,0.52,0.57,0.05,0.49,4.19,1.25,3.18,0.22,0.18,4.65,3.61,0.32,0.5,0.57,0.21,0.32,0.16,0.1
CHURU,Taranagar,20,55452,1.23,1.03,0.96,0,3.91,1.97,5.51,2.47,0.18,0.7,0.75,0.12,0.62,5.29,1.42,3.12,0.37,0.76,4.54,2.94,0.49,0.87,1.16,0,0.49,0.09,0.22
CHURU,Sardarshahar,21,91924,1.43,2.26,2.38,0.07,3.76,2.35,5.77,2.29,0.06,0.72,0.45,0.09,0.6,4.17,1.12,3.09,0.3,0.37,4.83,3.13,0.12,0.86,1.01,0.08,0.12,0.22,0.15
CHURU,Churu,22,66407,1.55,0.51,2.5,0,4,2.53,6.09,2.78,0,0.64,0.73,0,0.67,5.64,1.92,2.48,0.08,0.46,5.13,3.25,0.02,0.85,1.15,0,0.02,0.05,0
CHURU,Ratangarh,23,137569,2.15,2.19,2.24,0.08,3.97,2.07,6.36,2.73,0.03,0.69,0.51,0.11,0.79,5.9,1.72,3.29,0.43,1.04,5.5,3.1,0.12,0.93,0.82,0.08,0.12,0.1,0.11
CHURU,Sujangarh,24,130523,0.81,1.87,1.31,0.01,3.93,1.95,5.48,2.89,0.19,0.62,0.78,0,0.39,5.68,1.87,3.49,0.3,0.63,4.53,2.15,0.24,0.66,0.28,0,0.24,0.07,0
JHUNJHUNU,Pilani,25,69656,1.24,3.31,1.1,0,4,2.49,6.36,2.49,0.37,0.53,0.4,0,0.73,6.42,1.85,4.02,0.81,1.21,4.69,2.11,0.03,0.74,0.38,0,0.03,0,0.36
JHUNJHUNU,Surajgarh,26,112861,1.57,2.76,2.11,0,4,1.96,5.38,2.56,0.27,0.61,0.44,0.14,0.79,5.97,1.7,3.85,0.81,1.2,5.88,2.96,0.15,0.59,0.84,0,0.15,0.19,0.05
JHUNJHUNU,Jhunjhunu,27,39697,2.31,3.02,1.6,0,4,2.53,6.03,2.45,0.19,0.6,0.81,0.08,0.82,5.9,1.59,3.72,0.52,1.32,5,2.57,0.19,0.45,0.47,0,0.19,0.01,0.24
JHUNJHUNU,Mandawa,28,58572,1.24,2,2.34,0,4,2.54,5.57,2.54,0.3,0.6,0.8,0.21,0.61,6.6,1.33,3.76,0.51,1.4,5.55,2.95,0.04,0.81,0.6,0,0.04,0.08,0.02
JHUNJHUNU,Nawalgarh,29,49792,1.72,3.49,2.28,0,4,2.51,5.85,2.65,0.13,0.74,0.6,0,0.73,7.17,1.5,3.89,0.48,0.55,5.76,2.42,0.14,0.9,0.45,0,0.14,0.14,0
JHUNJHUNU,Udaipurwati,30,43703,1.26,3.25,2.51,0.07,4,1.85,5.34,2.8,0.2,0.69,0.69,0.11,0.66,5.99,1.78,3.3,0.53,0.77,5.28,3.47,0.26,0.71,0.49,0,0.26,0.17,0.13
JHUNJHUNU,Khetri,31,45059,1.85,3.43,2,0,4,2.02,5.67,2.65,0.22,0.74,0.57,0,0.64,6.06,1.77,4.31,0.66,1.23,5.18,2.41,0.01,0.55,0.82,0,0.01,0.31,0.12
SIKAR,Fatehpur,32,13728,0.56,2.58,0.49,0,4,2,6.01,2.92,0,0.26,0.34,0,0.11,3.1,1.23,2.24,0.19,0.35,3.07,2.17,0.17,0.42,0.8,0,0.17,0.21,0
SIKAR,Lachhmangarh,33,76945,1.28,3.49,2.77,0,4,2.12,5.88,2.96,0.29,0.62,0.78,0.04,0.49,5.47,1.77,3.34,0.36,1.41,4.75,2.35,0.1,0.63,0.28,0.03,0.1,0.14,0.18
SIKAR,Dhod,34,83691,1.71,3.21,1.97,0.02,4,2.19,5.89,2.61,0.07,0.61,0.79,0.05,0.61,5.59,1.42,3.63,0.31,0.62,5.46,3.5,0.09,0.48,0.73,0,0.09,0.27,0.01
