District,District Code,Sub District,Sub District Code,Development Block,Block Code,Parliament Constituency,Assembly Constituency,AC Code,GP Code,Total Population,Gram Panchayat,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Social Forestry (0-1),Small Scale Industries (0-1),Adult & Non-Formal Education (0-1)
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37903,125,15 SPM ,1.76,4.26,0.5,0,4,1.48,3.92,3,0,0,0,0,0,1.52,0.24,0,0,0.26,2.26,2.58,0,0,0.52,0,0,0,0
GANGANAGAR ,100,Ganganagar ,458,GANGANAGAR ,675,Ganganagar,Sadulshahar,1,37745,515,9 Z ,3.5,5,1.5,0,4,2,6,3,0,0,0,0,1,4.5,1,2,0.5,1,3,2,0,1,2,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37898,133,BANWALI ,2,6,3,1,4,2,6,2,0,0,0,0,0,5,2,1,1,1,1.5,3,0,1,0,0,0,0,0
HANUMANGARH ,101,Tibi ,467,TIBBI ,6616,Ganganagar,Sangaria,7,38015,217,2 KSP ,0.5,4,0.5,0,3,3,1.5,3,1,0,1,0,0,2.5,0.5,0.5,0.5,0.5,2.5,0.5,0,0,0,0,0,0,0
BIKANER ,93,Chhatargarh ,479,KHAJUWALA ,6715,Bikaner,Khajuwala,12,294057,1510,10 G M ,0,2.66,1.35,0,3.69,1,2.66,2,0,0,0,0,0,1.17,0.17,1,0.16,0,1.83,1.18,0,0,0,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37899,2470,BHAGSAR ,0.5,4.5,1.5,0,4,3,4.5,3,0,0,0,0,1,4.5,0.5,3,0.5,0.5,6.5,3,0,1,1,0,0,0,1
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37900,170,BUDHERWALI ,0.5,6,0.5,0,4,1,3,3,0,0,0,0,0,2.5,0.5,1,0.5,0.5,1.5,0.5,0,0,0,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37908,96,HAKMABAD ,1.5,4,1.5,0,4,2,4.5,3,0,0,0,0,0,4.5,0.5,0,0.5,0.5,2.5,2,0,0,0,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37911,95,KHAT SAJWAR ,0.5,4,0.5,0,3,2,5,1,0,0,0,0,0,2.5,0.5,0.5,0.5,0.5,2,5.5,0,0,1,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37910,4522,KHERUWALA ,0.5,5,2,2,4,2,6.5,3,0,1,0,0,0,9,2,0,0.5,0,5.5,6,0,1,0,0,0,0,1
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37912,43,KILANWALI ,0.5,4,0,0,4,3,3.5,3,0,0,0,0,0,4.5,1,0,0.5,0.5,3.5,4,0,0,0,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37914,172,LALGARH JATAN ,0.5,4.83,0.5,0,4,0.35,3,2.35,0,0,0,0,0,4.02,0.5,0.35,0.33,0.5,2.02,0.5,0,0,0,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37919,501,MORJAND KHARI ,0,4.12,0,0,4,3,2.65,3,0,0,0,0,0,1.73,0,0,0.38,0,1,2.54,0,0,0,0,0,0,0
GANGANAGAR ,100,Ganganagar ,458,GANGANAGAR ,675,Ganganagar,Sadulshahar,1,37763,580,Matili Rathan ,0.5,6,0.5,0,4,1,5.5,2,0,0,0,0,0,2.5,0.5,0,0.5,0.5,4.5,2,0,0,1,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37921,2270,NOORPURA ,0,4,1,0,4,3,6,3,0,1,0,0,1,5,2,3.5,0,0,5.5,4,0,1,0,0,0,0,0
GANGANAGAR ,100,Sadulshahar ,459,SADULSHAHAR ,679,Ganganagar,Sadulshahar,1,37923,1609,ROTANWALI ,1.98,4.49,1,0,4,3,4.98,2.96,0,0.99,0,0,0.99,3,1.99,3.95,0,0,5.44,3.96,0,0,0,0,0,0,0
GANGANAGAR ,100,Ganganagar ,458,GANGANAGAR ,675,Ganganagar,Sadulshahar,1,37774,448,Sangatpura ,0.5,3,0.5,0,4,1,2.05,2.87,0,0,0,0,0,4.53,0.5,0.02,0.5,0.5,0.5,0.97,0,0,0,0,0,0,0
GANGANAGAR ,100,Ganganagar ,458,GANGANAGAR ,675,Ganganagar,Ganganagar,2,37735,1575,13 G Chhoti ,0.56,4,0.5,0,4,1,6,2,0,0,0,0,0,1.56,0.78,1.11,0.28,0,3.28,3.44,0,0,0.56,0,0,0,0
BIKANER ,93,Khajuwala ,478,KHAJUWALA ,6715,Bikaner,Khajuwala,12,35996,3032,17 KYD ,1,4,1.5,0,3,1,6,3,0,0,0,0,1,1,0.5,1,0,0,3,3,1,0,0,0,1,1,0
GANGANAGAR ,100,Ganganagar ,458,GANGANAGAR ,675,Ganganagar,Ganganagar,2,37754,1847,18 ML ,0.49,3.01,4.37,0,4,2.93,6.44,2.02,0,0,0,0,0,3.54,0.53,3.39,0.48,0.49,3.92,3.02,0,0.96,1.45,0,0,0,0
BIKANER ,93,Khajuwala ,478,KHAJUWALA ,6715,Bikaner,Khajuwala,12,262190,4175,17KHM ,0,4,0,0,3,0,4,1,0,1,1,0,0,1,0,4,0,0,1,2.5,0,0,0,0,0,0,0
