District Name,DT CODE,Agriculture (0-7),Land Improvement & Minor Irrigation (0-9),Animal Husbandry (0-6),Fisheries (0-2),Rural Housing (0-4),Drinking Water (0-3),Roads (0-8),Rural Electrification (0-3),Non-Conventional Energy (0-1),Maintenance of Community Assets (0-1),Fuel & Fodder (0-1),Libraries (0-1),Cultural Activities (0-1),Financial & Communication Infrastructure (0-9),Public Distribution System (0-2),Education (0-6),Vocational Education (0-2),Markets & Fairs (0-3),Health & Sanitation (0-11),Women & Child Development (0-7),Social Forestry (0-1),Family Welfare (0-1),Poverty Alleviation Programme (0-6),"Khadi, Village & Cottage Industries (0-3)",Social Forestry (0-1),Small Scale Industries (0-1),Adult & Non-Formal Education (0-1)
AJMER,21,1.51,2.33,2.59,0.1,3.93,1.45,5.62,2.58,0.05,0.64,0.82,0.08,0.43,5.22,1.41,3.31,0.38,1.12,4.1,2.23,0.24,0.5,0.54,0.01,0.24,0.2,0.06
ALWAR,6,1.44,3.54,1.78,0.05,3.98,1.3,5.22,2.28,0.11,0.52,0.39,0.21,0.49,5.21,1.43,3.44,0.5,0.83,4.3,3.29,0.15,0.47,0.43,0.07,0.15,0.12,0.16
BANSWARA,27,1.81,3.63,2.49,0.08,3.11,0.7,4.89,1.62,0.23,0.66,0.23,0.15,0.36,4,0.97,3,0.49,1.35,3.47,3.06,0.1,0.44,1.3,0.07,0.1,0.03,0.08
BARAN,30,1.67,3.44,2.35,0.12,3.19,1.15,5.41,2.17,0.04,0.57,0.73,0.04,0.41,5.27,1.35,3.06,0.42,1.6,4.4,3.76,0.08,0.57,0.99,0.04,0.08,0.03,0
BARMER,17,0.97,1.89,0.98,0,3.06,0.94,5.12,2.15,0.09,0.48,0.43,0.01,0.37,3.91,1.3,3.05,0.27,0.59,3.66,2.52,0.22,0.3,0.37,0.1,0.22,0,0.03
BHARATPUR,7,1.95,3.25,1.73,0.08,3.97,1.19,5.6,2.33,0.04,0.66,0.41,0.09,0.45,5.34,1.44,3.43,0.56,1.73,4.32,2.74,0.17,0.5,0.6,0.17,0.17,0.09,0.17
BHILWARA,24,1.2,3.08,1.63,0.15,3.75,1.72,5.2,2.6,0.06,0.51,0.68,0.13,0.33,4.32,1.05,2.91,0.26,0.76,4.04,3.04,0.19,0.48,0.6,0.11,0.19,0.21,0.09
BIKANER,3,1.79,3.04,1.8,0.05,3.36,1.67,5.89,2.63,0.09,0.73,0.34,0.15,0.49,4.89,1.18,3.29,0.27,1.19,4.45,2.35,0.27,0.56,0.54,0,0.27,0.24,0.19
BUNDI,23,1.75,4.5,1.58,0.02,3.26,0.97,5.45,2.52,0.09,0.44,0.36,0,0.47,4,1.25,2.47,0.3,1.17,4.07,3.78,0.05,0.5,0.83,0,0.05,0.01,0.07
CHITTAURGARH,28,2.07,3.56,2,0.02,3.85,1.74,5.81,2.72,0.22,0.63,0.89,0.15,0.61,5.4,1.48,3.41,0.39,1.01,4.69,3.52,0.26,0.65,0.76,0,0.26,0.09,0.09
CHURU,4,1.36,1.7,1.79,0.04,3.91,2.09,5.79,2.62,0.09,0.64,0.62,0.06,0.59,5.21,1.58,3.17,0.3,0.61,4.9,2.98,0.2,0.78,0.76,0.07,0.2,0.11,0.09
DAUSA,11,1.7,3.77,2.43,0.03,3.99,0.84,4.9,2.17,0.21,0.62,0.47,0.02,0.35,5.49,1.28,3.49,0.67,1.66,4.22,3.24,0.21,0.45,0.65,0,0.21,0.19,0.28
DHAULPUR,8,1.77,3.65,1.81,0.01,3.85,0.96,5.39,2.35,0.15,0.45,0.44,0.11,0.36,4.09,1.41,2.87,0.51,1.02,4.2,3.48,0.15,0.53,1.04,0.21,0.15,0.24,0.06
DUNGARPUR,26,1.88,3.26,2.37,0.19,3.01,0.78,5.76,2.34,0.08,0.65,0.63,0.04,0.44,5.2,1.55,3.3,0.45,1.35,4.05,3.35,0.36,0.67,1.37,0.1,0.36,0.12,0.07
